Selection,Name,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,Title,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit,Ingredients,Amount,Unit
,Chickpea Salad Sandwiches,Chickpeas,31,oz,mayonnaise,29.5735,ml,Lemon Juice,14.7868,ml, black pepper,2.46446,ml,sea salt,2.46446,ml,pickled jalapeno juice,14.7868,ml,pickled jalapeno,5,whole,dill pickles,120,ml,celery,120,ml,red onion,60,ml,apple,120,ml,,,,,,,,,,,,
x,Mushroom Stroganoff,white onion,1,whole,sea salt,2.46446,ml,black pepper,2.46446,ml,dried thyme,4.92892,ml,oregano,4.92892,ml,dried basil,2.46446,ml,cremini mush ,480,ml,button mushrooms,480,ml,garlic cloves,5,whole,mushroom broth,960,ml,pasta,450,g,cashew cream,240,ml,nutritional yeast,29.5735,ml,,,,,,
,Cauliflower Tacos,cauliflower,1,whole,olive oil,4.92892,ml,sea salt,1.23223,ml,black pepper,1.23223,ml,franks ,118.294,ml,mayonnaise,120,ml,lemon juice,14.7868,ml,dill,14.7868,ml,sea salt,1.23223,ml,black pepper,1.23223,ml,avocado,1,whole,purple cabage,0.25,whole,cilantro,1,whole,tortillas,10,whole,,,
,Cashew Cream,unsalted cashew,473.176,ml,lemon juice ,78.78388,ml,apple cider vinegar,9.85784,ml,pickled jalapeno juice,9.85784,ml,water,240,ml,sea salt,9.85784,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aunt Lisa's Salad,garlic,1,whole,salt,4.92892,ml,pepper,4.92892,ml,mustard,4.92892,ml,champagne vinegar,88.7206,ml,olive oil,240,ml,greens,1,whole,red greens,1,whole,spinach,1,whole,,,,,,,,,,,,,,,,,,
,Spinach and Mushroom Lasagna,tomato,60,oz,tomato paste,120,ml,basil,240,ml,parsley,240,ml,salt,14.7868,ml,pepper,14.7868,ml,lasagna noodles,80,oz,tofo,64,oz,mushroom,8,oz,spinach,1,whole,,,,,,,,,,,,,,,
,Tofu Scramble,green/ bell pepper,1,whole,spinach,1,whole,tofu,40,oz,cumin,9.85784,ml,thyme,9.85784,ml,paprika,9.85784,ml,tumeric,4.92892,ml,salt,9.85784,ml,,,,,,,,,,,,,,,,,,,,,
,Sushi,seaweed wrap,5,whole,sticky rice,240,ml,cucumber,1,whole,avocado,1,whole,bell pepper,1,whole,carrot,1,whole,black sesame,14.78,ml,rice vinegar,120,ml,,,,,,,,,,,,,,,,,,,,,
x,Gourmet Beef Loaf,sweet potato,1,whole,beet,1,whole,vegan butter,14.7868,ml,red onion,1,whole,dried thyme,4.92892,ml,dried rosemary,2.46446,ml,paprika,2.46446,ml,sea salt,4.92892,ml,black pepper,2.46446,ml,garlic powder,4.92892,ml,tomato paste,4.92892,ml,soy sauce,4.92892,ml,brown lentils,540,ml,whole grain oats,236.588,ml,,,
x,Coconut cream curry,coconut oil,4.92892,ml,white onion,1,whole,curry powder,4.92892,ml,tumeric powder,4.92892,ml,sea salt,4.92892,ml,chili flakes,1.23223,ml,garlic,4,whole,fresh ginger,14.7868,ml,yellow potatoes,2,whole,maple syrup,14.7868,ml,tomatoes,398,ml,coconut milk,398,ml,,,,,,,,,
x,Grilled veggie sandwich,red onion,0.25,whole,bell pepper,1,whole,zucchini,1,whole,portobello mushroom,2,whole,white onion,1,whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
